Week number,Location (county),Number of findings,Species involved,Total number of birds testing positive
Week 47 (2021) ,Herefordshire,1,Mute swan,1
Week 47 (2021) ,Blackpool Borough Council,1,Mute swans,2
Week 48 (2021),Dumfries and Galloway,1,Unspecified goose ,2
Week 48 (2021),Dumfriesshire,1,Barnacle goose ,2
Week 48 (2021),Peterborough City Council,1,Greylag goose,1
Week 48 (2021),South Cambridgeshire District Council,1,Mute swan,1
Week 48 (2021),West Lancashire Borough,1,Mute swan,1
Week 48 (2021),Leeds City Council,1,Common buzzard,1
Week 48 (2021),Wokingham,1,Mute swan,1
Week 48 (2021),Stratford-on-Avon District Council,1,"Canada goose, mute swan",7
Week 48 (2021),City of Carlisle,1,Barnacle goose,1
Week 48 (2021),Dumfriesshire,1,Whooper swan; unidentified swan,2
Week 48 (2021),South Lanarkshire,1,Unspecified goose,1
Week 48 (2021),Falkirk,1,Swan,1
Week 48 (2021),Dumfriesshire,1,Barnacle goose,1
Week 48 (2021),Dumfries and Galloway,1,Barnacle goose,1
Week 48 (2021),Dumfriesshire,1,Barnacle goose ,1
Week 48 (2021),Stroud,1,Mute swans ,5
Week 48 (2021),Scottish Borders,1,Mute swan,1
Week 48 (2021),Fylde Borough Council,1,Mute swan,1
Week 48 (2021),Sefton Metropolitan Borough Council,1,Mute swan,3
Week 48 (2021),Fylde Borough Council,1,Mute swan,3
Week 48 (2021),Carlisle City Council,2,Barnacle goose,2
Week 48 (2021),Allerdale Borough Council,1,Barnacle goose ,1
Week 48 (2021),South Norfolk District Council,1,Mute swan,1
Week 48 (2021),North Norfolk District Council,1,Mute swan,1
Week 48 (2021),North Norfolk District Council,1,Mute swan,2
Week 48 (2021),Chelmsford City Council,1,"Mute swan, greylag goose",2
Week 48 (2021),West Northamptonshire,1,Mute swan,1
Week 48 (2021),Sunderland City Council,1,Mute swan,6
Week 48 (2021),Stockton-on-Tees Borough Council,1,Mute swan; swan,3
Week 48 (2021),Hartlepool Borough Council,1,Goose,1
Week 48 (2021),Harrogate,1,Canada goose; greylag goose,2
Week 48 (2021),Cheddar,1,Common buzzard,1
Week 48 (2021),Dorset,1,Mute swan,1
Week 48 (2021),Dorset,1,Canada goose,1
Week 48 (2021),Anglesey,1,Mute swan,1
Week 48 (2021),Shropshire,1,Canada goose,2
Week 48 (2021),Bury,1,Canada goose,1
Week 48 (2021),Gwynedd Council,1,Common buzzard,1
Week 48 (2021),Dumfries and Galloway,1,Canada goose,1
Week 48 (2021),Stroud,1,"Mute swan, greylag goose",4
Week 49 (2021),Allerdale Borough Council,2,"Mute Swan,Barnacle Goose",3
Week 49 (2021),Dumfries and Galloway,5,"Common Buzzard, Greylag goose, Mute Swan, Barnacle Goose",5
Week 49 (2021),West Berkshire Council,1,Mute Swan,3
Week 49 (2021),Wokingham,1,Mute Swan,1
Week 49 (2021),Lewes,1,Greylag goose,1
Week 49 (2021),Chelmsford,1,Unidentified Swan,1
Week 49 (2021),South Oxfordshire,1,Kestrel,1
Week 49 (2021),Gedling Borough,1,Mute Swan,1
Week 49 (2021),Durham,3,"Unspecified Goose,Greylag goose,Unidentified Swan.",3
Week 49 (2021),Teignbridge,1,Black Swan,1
Week 49 (2021),Walsall Metropolitan Borough Council,1,Unspecified Goose,2
Week 49 (2021),Eden,1,Mute Swan,1
Week 49 (2021),Cheshire East,1,Common Buzzard,1
Week 49 (2021),Shropshire,1,Unspecified Goose,1
Week 49 (2021),Halton Borough,1,Mute Swan,1
Week 49 (2021),Sunderland City Council,2,Black headed gull,2
Week 49 (2021),Angus,1,Unidentified Swan,1
Week 49 (2021),West Lancashire Borough,2,"Whooper Swan, Greylag goose",3
Week 49 (2021),Scottish Borders,1,Mute Swan,1
Week 49 (2021),North Northamptonshire,1,Mute Swan,1
Week 49 (2021),East Riding of Yorkshire,1,Greylag goose,1
Week 49 (2021),Leeds City Council,1,Greylag goose,1
Week 49 (2021),Dorset,1,Mute Swan,1
Week 49 (2021),Stroud,3,"Mute Swan, Greylag goose",4
Week 49 (2021),West Lancashire Borough,3,"Whooper Swan, Lapwing",3
Week 50 (2021),Allerdale Borough Council,2,Barnacle Goose,2
Week 50 (2021),South Lakeland District Council,1,Pheasant,2
Week 50 (2021),Harrogate,2,Mute Swan,2
Week 50 (2021),Ryedale District Council,1,Sparrowhawk,1
Week 50 (2021),Dorset,3,"Canada Goose, Mute Swan, Black Swan",4
Week 50 (2021),City of Wolverhampton Council,2,"Mute Swan, Canada Goose",4
Week 50 (2021),Dumfries and Galloway,8,"Common Buzzard, Barnacle Goose, Canada Goose, Mute Swan",8
Week 50 (2021),West Lancashire Borough,2,"Grey Heron, Whooper Swan",2
Week 50 (2021),South Lanarkshire,1,Mute Swan,1
Week 50 (2021),Stroud,2,"Bewick's Swan, Greylag Goose",2
Week 50 (2021),Leeds City Council,1,Mute Swan,1
Week 50 (2021),Shropshire,1,Mute Swan,2
Week 50 (2021),Wigan Metropolitan Borough,1,Canada Goose,2
Week 50 (2021),Scottish Borders,1,Common Buzzard,1
Week 50 (2021),Mendip District Council,1,Common Buzzard,1
Week 50 (2021),Borough Council of Kings Lynn and West Norfolk,1,Whooper Swan,2
Week 50 (2021),Dumfriesshire,4,"Barnacle Goose, Whooper Swan",4
Week 50 (2021),Highland,1,Common Buzzard,1
Week 51 (2021),Sunderland City Council,3,"Mute Swan, Canada Goose, Kestrel",3
Week 51 (2021),East Riding of Yorkshire,1,Peregrine Falcon,1
Week 51 (2021),Dorset,3,"Mute Swan, Canada Goose Greylag Goose",17
Week 51 (2021),West Lancashire Borough,1,Black headed gull,1
Week 51 (2021),Dumfries and Galloway,1,Common Buzzard,1
Week 51 (2021),Aberdeenshire,1,Unidentified Swan,1
Week 51 (2021),Newcastle City Council,1,Unspecified Duck,1
Week 51 (2021),County Durham,1,Common Buzzard,1
Week 51 (2021),Breckland,1,Common Buzzard,1
Week 51 (2021),North Norfolk District Council,1,Mute Swan,1
Week 51 (2021),Carlisle City Council,1,Common Buzzard,1
Week 51 (2021),Dumfries and Galloway,2,Barnacle Goose,3
Week 51 (2021),Walsall Metropolitan Borough Council,2,Canada Goose,3
Week 51 (2021),Sandwell Metropolitan Borough Council,1,Canada Goose,3
Week 51 (2021),Cheshire East,1,Canada Goose,2
Week 51 (2021),Borough Council of Kings Lynn and West Norfolk,1,Whooper Swan,1
Week 52 (2021),Melton Borough Council,1,Sparrowhawk,1
Week 52 (2021),South Tyneside,2,Mute Swan,3
Week 52 (2021),South Lanarkshire,1,Mute Swan,1
Week 52 (2021),Dumfriesshire,5,"Barnacle Goose, Whooper Swan, Gull, Common Buzzard, Mute Swan",9
Week 52 (2021),Dumfries and Galloway,2,"Unidentified Swan, Barnacke Goose",2
Week 52 (2021),South Lanarkshire,1,Sparrowhawk,1
Week 52 (2021),North Somerset,1,Mute Swan,1
Week 52 (2021),Aberdeenshire,2,"Unidentified Swan, Unidentified Duck",2
Week 52 (2021),Warrington,1,Mute Swan,1
Week 52 (2021),St Helens,2,"Great-crested Grebe, Canada Goose",3
Week 52 (2021),City of Wolverhampton Council,1,Canada Goose,2
Week 52 (2021),Glasgow City,1,Unidentified Swan,1
Week 52 (2021),Stockport Metropolitan Borough Council,1,Black headed Gull,1
Week 52 (2021),Scottish Borders,2,"Common Buzzard, Greylag Goose",2
Week 52 (2021),Stroud,1,Greylag Goose,1
Week 52 (2021),Midlothian,1,Mute Swan,1
